clasificacion,2000,2001,2002,2004,2005,2006,2007,2008,2009,2010,2011,2012,2014,2015,2016,2017,total_por_clasificacion
Geológico,60,,,,,,,,,,,,,,,40,100
Hidrometeorológico,14,60,54,44,46,76,68,16,6,2,31,1,37,14,20,,489
total_por_año,74,60,54,44,46,76,68,16,6,2,31,1,37,14,20,40,589
